"eng","tr","telaffuz","Derece","Tek"
"Whisper","Fısıltı, fısıldamak","","genel","0"
"Ensure","Sağlama almak, garantiye almak, emin olmak","İnşur","genel","0"
"Coop","Kümes","Kuup","genel","0"
"Frown","Kaş çatmak, surat asmak, somurtmak","Fıraun","genel","0"
"Wolf","Kurt","Vulf","genel","0"
"Vindicate","Doğruluğunu kanıtlamak, aklamak","","genel","0"
"Stab","Bıçaklamak, saplamak","Sıteb","genel","0"
"Rebellious","İsyankar, asi, isyancı","Ribeliyıs","genel","0"
"Vehicle licence","Ruhsat","Viyıkıl Laysıns","genel","0"
"Academician","Akademisyen","Ekıdımişın","genel","0"
"Fond","Düşkün","Fond","genel","0"
"Fund","Sermaye, kaynak, fon","Fand","genel","0"
"Pine cone","Kozalak","","genel","0"
"Acorn","Meşe palamudu, palamut","Eykorn","genel","0"
"Restaurant","Restoran","Restırant","genel","0"
"Promotion","Terfi, promosyon","Pırımoşın","genel","0"
"Incessant","Aralıksız, devamlı","","genel","0"
"Sanction","Onaylama, yaptırım","","genel","0"
"Dress","Pansuman yapmak","","genel","0"
"Dressing","Pansuman, sargı, sos","","genel","0"
"Coke","Kokain, kola","Kok","genel","0"
"Regiment","Alay (askeri birlik), alay oluşturmak","Recımınt","genel","0"
"Trip","Takılmak, takılıp düşmek","","genel","0"
"Trip over","Takılıp düşmek","","genel","0"
"Rebound","Yankılanmak","Ribaund","genel","0"
"Comet","Kuyruklu yıldız","Kamıt","genel","0"
"Tumble","Takla, takla atmak","","genel","0"
"Punctual","Dakik","Pankçuıl","genel","0"
"Spotted","Benekli, noktalı","Sıpadıd","genel","0"
"Spot","Nokta, benek, leke","Sıpat","genel","0"
"Dotted","Noktalı, benekli","Dadıd","genel","0"
"Lettuce","Marul","Ledıs","genel","0"
"Stew","Sote, yahni, güveç","Sıtüu","genel","0"
"Portion","Porsiyon","Porşın","genel","0"
"Potion","İksir","Poşın","genel","0"
"Quince","Ayva","Kuins","genel","0"
"Pear","Armut","Peır","genel","0"
"Backing","Destek, yardım","","genel","0"
"Skewer","Şiş","Sıküuvır","genel","0"
"Confrontation","Yüzleşme, yüzleştirme","Kanfırınteyşın","genel","0"
"Countdown","Geri sayım","","genel","0"
"Donate","Bağışlamak","","genel","0"
"Donor","Bağış yapan kimse","Donır","genel","0"
"Swag","Yağma, çalıntı mal","Sıveg","genel","0"
"Amidst","Ortasında (bir sürecin), arasında, süresince","Emidst","genel","0"
"Pancake","Gözleme, krep","","genel","0"
"Enthusiasm","Coşku, heves","İnthuziazım","genel","0"
"Jury","Jüri","Curi","genel","0"
"Anatolia","Anadolu","Enitolıya","genel","0"
"Anatolian","Anadolulu","Enitolıyın","genel","0"
"Authoritarian","Otoriter","Othorıterıyın","genel","0"
"Companion","Refakatçi, arkadaş","Kımpeniın","genel","0"
"Induct","Almak, göreve başlatmak, resmen göreve başlatmak, askere almak","","genel","0"
"Black out","Elektrik kesintisi","","genel","0"
"Impersonate","Taklit etmek, canlandırmak, temsil etmek","İmpörsineyt","genel","0"
"Colonize","Sömürgeleştirmek, sömürge kurmak, koloni kurmak","Kolınayz","genel","0"
"Allocate","Tahsis etmek, pay etmek","Elıkeyt","genel","0"
"Allocation","Paylaştırma, bölüştürme, dağıtma","Elıkeyşın","genel","0"
"Induce","Neden olmak, ikna etmek","","genel","0"
"Steel","Çelik","","genel","0"
"Armor - Armour","Zırh","","genel","0"
"Sling","Sapan","","genel","0"
"Slingshot","Sapan","","genel","0"
"Alongside","Yanına","","deyim","0"
"Nearby","Yakında","","deyim","0"
"Medium","Aracı, orta","","genel","0"
"Mediator","Aracı, arabulucu","Midieytır","genel","0"
"Empire","İmparatorluk","Empayır","genel","0"
"Emperor","İmparator","Empırır","genel","0"
"Imperial","İmparatorlukla ilgili, imparator","İmpiriıl","genel","0"
"Teapot","Çaydanlık","Tipat","genel","0"
"Ransom","Fidye","Rensım","genel","0"
"Thumb","Baş parmak","Tham","genel","0"
"Forefinger","İşaret parmağı","","genel","0"
"Middle finger - Third finger - Long finger","Orta parmak","","genel","0"
"Ring finger","Yüzük parmağı","","genel","0"
"Little finger","Serçe parmağı","","genel","0"
"Earphone - Headphone - Headset","Kulaklık","","genel","0"
"Swell","Şişmek, kabarmak","","genel","0"
"Swelling","Şişlik, şişkinlik","","genel","0"
"Civil","Sivil","Sivıl","genel","0"
"Civilian","Sivil","Siviliın","genel","0"
"Camera","Kamera","Kemıra","genel","0"
"Cameras","Kameralar","Kemırıs","genel","0"
"Diabetes","Şeker hastalığı","Dayabitis","genel","0"
"Plain","Ova, düz, sade, yalın","","genel","0"
"Lowland","Ova","Lovlınd","genel","0"
"Mist","Sis","","genel","0"
"Misty","Sisli","","genel","0"
"Meager","Cılız, eksik, kıt, az","Migır","genel","0"
"Sigh","İç çekme, iç çekmek","Say","genel","0"
"Ivory","Fil dişi","Ayvıri","genel","0"
"Bondage","Kölelik, esirlik, esaret, bağımlılık","Bandıç","genel","0"
"Bandage","Bandaj, sargı, bandajlamak","Bendıç","genel","0"
"Mixture","Karışım","Miksçır","genel","0"
"Empty","Boşaltmak, boş","","genel","0"
"Handsomely","Cömertçe","","genel","0"
"At once","Derhal, bir an önce","","deyim","0"
"Sculpture","Heykel","","genel","0"
"Lipstick","Ruj","","genel","0"
"Bathtub","Küvet","Beftab","genel","0"
"Cabinet","Dolap, kabine","Kebinıt","genel","0"
"Tube","Tüp, boru","Tüb","genel","0"
"Domicile","Konut","Damisayıl","genel","0"
"Dwell","İkamet etmek","","genel","0"
"Dwelling","Konut, mesken","","genel","0"
"Precipitation","Yağış, çökelti","","genel","0"
"Tuck","Sıkıştırmak, tıkıştırmak","","genel","0"
"Linear","Doğrusal","Liniyır","genel","0"
"Roller","Silindir","","genel","0"
"Inception","Başlama, başlangıç","","genel","0"
"Inception report","Giriş raporu","","genel","0"
"Since its inception","Kurulduğundan bu yana","","genel","0"
"In person","Bizzat, kendisi, bizzat kendisi, şahsen","","deyim","0"
"Welcome","Karşılamak","Velkım","genel","0"
"Shower head","Duş başlığı","","genel","0"
"Post","Makam, direk, posta, postalamak","","genel","0"
"Mast","Direk, bayrak direği","Mest","genel","0"
"Guitar","Gitar","Gitar","genel","0"
"Sadder","Daha üzgün","","genel","0"
"Substantial","Önemli, azımsanmayacak (miktar vs.), varlıklı, zengin","Sıbsıtenşıl","genel","0"
"Convoy","Konvoy","Kanvoy","genel","0"
"Gene","Gen","Cin","genel","0"
"Gin","Cin (içki)","Cin","genel","0"
"Armistice","Ateşkes","Armistis","genel","0"
"Impregnable","Ele geçirilemez, zaptedilemez","İmpiregnibıl","genel","0"
"Combative","Hırçın","Kımbetiv","genel","0"
"Insolent","Küstah","İnsılınt","genel","0"
"Impertinent","Küstah, terbiyesiz, münasebetsiz","İmpörtinınt","genel","0"
"Interpret","Yorumlamak","İntörpırıt","genel","0"
"Interpreter","Yorumcu","İntörpırıtır","genel","0"
"Good deed","Sevap","","genel","0"
"Priest","Rahip","Pırist","genel","0"
"Priestess","Rahibe","Pıristıs","genel","0"
"Bouquet","Buket, demet, deste","Bukey","genel","0"
"Confectioner","Pastacı","Kınfekşınır","genel","0"
"Skid","Patinaj yapmak","","genel","0"
"Spin","Patinaj yapmak","","genel","0"
"Spinner","Fırıldak, eğirteç","","genel","0"
"Maze","Şaşkınlık, hayret, labirent","","genel","0"
"Blade","Bıçak ağzı","","genel","0"
"Spade","Bahçıvan küreği","","genel","0"
"Beagle","Av köpeği, tazı","Bigıl","genel","0"
"Plum","Erik","","genel","0"
"Plummet","Aniden düşmek, dikine düşmek","","genel","0"
"Plump","Tombul, şişman, semirtmek, şişmanlatmak, ANİDEN DÜŞMEK","","genel","0"
"Slump","Ani düşüş","","genel","0"
"Thirst","Susuzluk, susamak","","genel","0"
"Pallet","Palet","Pelıt","genel","0"
"Wary","Temkinli, ihtiyatlı, uyanık","Veri","genel","0"
"Cursory","Üstünkörü, baştan savma","","genel","0"
"Meadow","Çayır, çimenlik","Medov","genel","0"
"Banner","Afiş, pankart","","genel","0"
"Pensive","Dalgın","","genel","0"
"Census","Nüfus sayımı","Sensıs","genel","0"
"Buffer","Tampon","Bafır","genel","0"
"Intonation","Tonlama","İntıneyşın","genel","0"
"Stress","Vurgulamak, tonlamak","","genel","0"
"Prototype","Prototip","Pırotıtayp","genel","0"
"Snitch","İspiyonlamak, gammazlamak","","genel","0"
"Snitcher","İspiyoncu, gammaz, ajan","","genel","0"
"Snatch","Kapmak, kapkaç yapmak, kapışmak","","genel","0"
"Snatcher","Kapkaçcı","","genel","0"
"Spiral","Spiral, sarmal","Sıpayrıl","genel","0"
"Angular","Açısal","Engılır","genel","0"
"Doe","Dişi geyik, dişi karaca","Dou","genel","0"
"Stray","Başıboş, yolundan ayrılmak, yoldan sapmak","","genel","0"
"Stray from","Ayrılmak (Olması gereken yerden, asıl konumundan, asıl konudan)","","genel","0"
"Gazelle","Ceylan","Gızel","genel","0"
"Lily","Zambak","Lili","genel","0"
"Pineapple","Ananas","","genel","0"
"Avocado","Avokado","Avıkado","genel","0"
"Hook up","Birleştirmek, bağlamak","","deyim","0"
"At a distance","Uzakta","","deyim","0"
"Gauze","Gazlı bez, sargı bezi","Gaz","genel","0"
"Gas","Gaz","Ges","genel","0"
"Petrol","Petrol","Petrıl","genel","0"
"Petroleum","Petrol","Pıtrolıyım","genel","0"
"Jump start","Arabayı akü takviyesiyle çalıştırmak","","genel","0"
"Once in a while","Arada bir","","deyim","0"
"Track","Pist, yol, iz, izlemek (iz vb.), patika","","genel","0"
"Runway","Pist","","genel","0"
"Senile","Bunak, bunamış","Sinayıl","genel","0"
"Sultan","Sultan, padişah","Saltın","genel","0"
"Spare","Acımak, canını bağışlamak, kıymamak, öldürmemek, boş (zaman), yedek (parça)","","genel","0"
"Pros and cons","Artıları ve eksileri","Pıros end kans","genel","0"
"Epic","Destansı, destan","Epik","genel","0"
"Paternity","Babalık","Pıtörniti","genel","0"
"Maternity","Annelik","Mıtörniti","genel","0"
"Leave","İzin","","genel","0"
"Paternity leave","Babalık izni","Pıtörniti liv","genel","0"
"Maternity leave","Annelik izni","Mıtörniti liv","genel","0"
"Ideas","Fikirler","Aydiıs","genel","0"
"Escalator","Yürüyen merdiven","","genel","0"
"Baptize - Baptise","Vaftiz etmek","Beptayz","genel","0"
"Baptism","Vaftiz","Beptizim","genel","0"
"Infantry","Piyade","İnfıntıri","genel","0"
"Carbon dioxide","Karbondioksit","Karbın dayaksayd","genel","0"
"Kernel","Tahıl tanesi (mısır vs.), çekirdek","Körnıl","genel","0"
"Pip","Meyve çekirdeği, çekirdek (elmada vs.), tomurcuk","","genel","0"
"Bud","Tomurcuk","Bad","genel","0"
"Beak","Gaga, gagalamak","","genel","0"
"Bead","Boncuk, tespih, tane","","genel","0"
"Coconut","Hindistan cevizi","Kokınat","genel","0"
"Rotted","Çürümüş, çürük","Radıd","genel","0"
"Rotten","Çürümüş, çürük","Radın","genel","0"
"Rot","Çürümek","Rat","genel","0"
"Prop","Pervane, desteklemek, dayamak, destek olmak, yaslamak","Pırap","genel","0"
"Prod","Teşvik etmek","Pırad","genel","0"
"Mighty","Güçlü, kuvvetli","Mayti","genel","0"
"Hare","Yaban tavşanı, tavşan","Heır","genel","0"
"Runaway","Kaçak, firari, sızıntı","","genel","0"
"Teat","Emzik, meme ucu","Tiit","genel","0"
"Nipple","Emzik, meme ucu","","genel","0"
"Notary","Noter","Notıri","genel","0"
"Notary public","Noter","Notıri pablik","genel","0"
"Mildew","Küf","Mildüu","genel","0"
"Must","Küf","","genel","0"
"Musty","Küflü","","genel","0"
"Mildewy","Küflü","Mildüuvi","genel","0"
"Mouldy - Moldy","Küflü","","genel","0"
"Pitch","Saha, zift, işportacı","","genel","0"
"Pitcher","Sürahi, maşrapa","","genel","0"
"Hawker","İşportacı, seyyar satıcı","Hakır","genel","0"
"Peddler","İşportacı, seyyar satıcı","Pedılır","genel","0"
"Pedlar","İşportacı, seyyar satıcı","Pedılır","genel","0"
"Puddle","Su birikintisi","Padıl","genel","0"
"Pebble","Çakıl taşı","Pebıl","genel","0"
"Rhino","Gergedan","Rayno","genel","0"
"Rhinoceros","Gergedan","Raynosırıs","genel","0"
"Vice","Mengene, yardımcı","","genel","0"
"Vice president","Başkan yardımcısı","","genel","0"
"Trump","Koz, koz oynamak","","genel","0"
"Trump card","İskambilde koz, koz, koz oynamak","","genel","0"
"Octopus","Ahtapot","Aktıpıs","genel","0"
"Deserted","Issız","Dizörtıd","genel","0"
"Deserter","Asker kaçağı, kaçak","Dizörtır","genel","0"
"Bench","Sıra, bank, tezgah, yedek kulübesi","","genel","0"
"Countertop","Tezgah","Keuntırtap","genel","0"
"Beaked","Gagalı","","genel","0"
"Flat","Daire, düz, yassı, gazı kaçmış (içecek), tatsız, yavan, havasız (lastik)","","genel","0"
"Plane","Uçak, düzlem, düzlemek, çınar","","genel","0"
"Conscious","Bilinçli","Kanşıs","genel","0"
"Consciousness","Bilinç","Kanşısnıs","genel","0"
"Conscience","Vicdan","Kanşıns","genel","0"
"Costume","Kostüm","Kastüum","genel","0"
"Custom","Gelenek, örf, adet","Kastım","genel","0"
"Customs","Gümrük","Kastıms","genel","0"
"Carriage","Taşımacılık, navlun, nakil, vagon, at arabası","Keriç","genel","0"
"Miscarriage","Düşük yapma","Miskeriç","genel","0"
"Introvert","İçe dönük","İntırıvört","genel","0"
"Extravert","Dışa dönük","Ekstırıvört","genel","0"
"Opposite","Zıt, aksi","Apızıt","genel","0"
"Comic book","Çizgi roman","Kamik buk","genel","0"
"Nursery","Çocuk odası, çocuk yuvası, fidanlık, yuva, kreş, üretme çiftliği","","genel","0"
"Nursing home - rest home - old age asylum","Huzur evi","","genel","0"
"Veil","Peçe, duvak, peçe ile örtmek","Veil","genel","0"
"Snap","Parmak şıklatmak","","genel","0"
"Snap finger","Parmak şıklatmak","","genel","0"
"Chameleon","Bukalemun","Kımiliyın","genel","0"
"Herbivorous","Otçul, otobur","Hörbivırıs","genel","0"
"Carnivorous","Etcil, etobur","Karnivırıs","genel","0"
"Thesis","Tez","Fiisıs","genel","0"
"Hypothesis","Hipotez","Haypofisıs","genel","0"
"Interrogate","Soruya çekmek, ifadesini almak, sorgulamak","İnterıgeyt","genel","0"
"Interrogation","Sorgu, sorguya çekme, sorgulama","İnterıgeyşın","genel","0"
"Monument","Abide, anıt, eser","Manyümınt","genel","0"
"Memorial","Anıt, anma töreni, bildiri, muhtıra, önerge","Mımoriıl","genel","0"
"Infamous","Kötü şöhretli, adı çıkmış","İnfımıs","genel","0"
"Isle","Ada","Ayıl","genel","0"
"Aisle","Koridor","Ayıl","genel","0"
"Surrogate","Vekil, başkasının yerini tutan","Sörıgıt","genel","0"
"Surrogacy","Vekillik, taşıyıcı annelik","Sörıgısi","genel","0"
"Pawn","Piyon","Pan","genel","0"
"Evade","Yakayı sıyırmak, paçayı kurtarmak","İveyd","genel","0"
"Invade","İstila etmek","İnveyd","genel","0"
"Elude","Paçasını kurtarmak, atlatmak, sıyrılmak","Ilud","genel","0"
"Hypnotize","Hipnotize olmak","Hipnıtayz","genel","0"
"Veterinarian","Veteriner","Vetırıneriyın","genel","0"
"Veterinary","Veteriner","Vetirineri","genel","0"
"Conduct","Davranış","Kandakt","genel","0"
"Conduct","Yönetmek, yürütmek, idare etmek","Kındakt","genel","0"
"Buzz","Vızıldamak, uğuldamak, vızıltı, uğultu","","genel","0"
"Colon","Kolon, iki nokta üst üste","Kolın","genel","0"
"Semi colon","Noktalı virgül","Semi kolın","genel","0"
"Column","Kolon, sütun","Kalım","genel","0"
"Bulb","Ampul, çiçek soğanı","Balb","genel","0"
"Conscientious","Vicdanlı, özenli, dikkatli, işine bağlı, dürüst","Kanşıenşıs","genel","0"
"Converse","Zıt, karşıt anlamlı sözcük, sohbet etmek","Kınvörs","genel","0"
"Trail","İz, patika, yol","","genel","0"
"Trailer","Treyler, römork, fragman","","genel","0"
"Lorry","Kamyon","","genel","0"
"Manor","Malikhane","Menır","genel","0"
"Tide","Gelgit","Tayd","genel","0"
"Tidal","Gelgit ile ilgili","Taydıl","genel","0"
"Chimpanzee","Şempanze","Çimpenzi","genel","0"
"Hesitantly","Tereddüt ederek","","genel","0"
"Undoubtedly","Şüphesiz","","genel","0"
"Submarine","Denzialtı","Sabmırin","genel","0"
"Meteor","Meteor","Midiır","genel","0"
"Meteoroid","Meteroid","Midiıroyd","genel","0"
"Asteroid","Asteroid","Estıroyd","genel","0"
"Resign","İstifa etmek","Rizayn","genel","0"
"Designate","Atamak, tayin etmek, belirlemek, adlandırmak","Dezigneyt","genel","0"
"It remains to be seen","Belirsizliğini koruyor","","deyim","0"
"Like none other","Diğerlerinden farklı bir şekilde","","deyim","0"
"Catch somebody red handed","Birisini suçüstü yakalamak","","deyim","0"
"Red handed","Suçüstü","","genel","0"
"Hat","Şapka","Het","deyim","0"
"Hut","Kulübe","Hat","genel","0"
"Lenient","Yumuşak davranan, müsamahakar, hafif, hoşgörülü, nazik","Liniyınt","genel","0"
"Jaw","Çene","Ca","genel","0"
"Jaw dropping","Ağzı açık bırakan, dudak uçuklatan","Ca dıroping","genel","0"
"Chin","Çene","Çin","genel","0"
"Mafia","Mafya","Mafia","genel","0"
"Mafias","Mafyalar","Mafiıs","genel","0"
"Come along","Çıkmak (fırsat), beraber gitmek, eşlik etmek","","genel","0"
"Come along for the ride","Laf olsun diye katılmak, iş olsun diye eşlik etmek","","deyim","0"
"Just as","Tam o anda, -iken, tıpkı","","genel","0"
"Gnaw","Kemirmek","Na","genel","0"
"Gnaws","Kemirmek (Geniş zaman)","Nas","genel","0"
"Gnawing","Kemirme","Naing / noing","genel","0"
"Gnawed","Kemirilmiş","Nad","genel","0"
"Hyena","Sırtlan","Haina","genel","0"
"Hyenas","Sırtlanlar","Hainıs","genel","0"
"Straight away","Birdenbire, aniden, hemen","","deyim","0"
"Doom","Kıyamet, karar, hüküm, kader, yargı","Dum","genel","0"
"Doomed","Kaderine terk edilmiş, eli mahkum, hükmü verilmiş","Dumd","genel","0"
"Doomsday","Kıyamet günü","","genel","0"
"Base","Alçak, aşağılık, adi","","genel","0"
"Lay off","Bırakmak, vazgeçmek, işten çıkarmak, kovmak","","deyim","0"
"Stock","Hisse, stok, stoklamak","Sıtak","genel","0"
"Built","Şekil, yapı, biçim, iri yarı, cüsseli, kaslı","","genel","0"
"Parallelogram","Paralelkenar","Perilalıgırem","genel","0"
"Pentagon","Beşgen","Pentıgan","genel","0"
"Hexagon","Altıgen","Hekzıgan","genel","0"
"Compass","Pergel, pusula","","genel","0"
"Arbitrary","Keyfi, nedensiz","Arbitıreri","genel","0"
"Arbitrarily","Keyfi olarak, gelişigüzel, nedensizce","Arbitırerıli","genel","0"
"Legislation","Mevzuat, yasa, kanun","Lecısleyşın","genel","0"
"Legislate","Yasa yapmak, kanun yapmak","Lecısleyt","genel","0"
"Legitimate","Meşrulaştırmak, meşru","Lıcıtımıt","genel","0"
"Fetus","Fetüs","Fitıs","genel","0"
"Foetus","Fetüs","Fitıs","genel","0"
"Embryo","Embriyo","Embiriyo","genel","0"
"Perimeter","Çevre, çevre uzunluğu (geometri)","Pırimitır","genel","0"
"Parameter","Parametre","Pıremitır","genel","0"
"Coach","Otobüs, antrenör","Kouç","genel","0"
"Couch","Kanepe, divan","Kauç","genel","0"
"Nicety","Nezaket, hoşluk, incelik, iyilik, hassaslık, titizlik","Naysiti","genel","0"
"Trapezium","Yamuk (geometri), trapez (kas)","Tırıpiziyım","genel","0"
"Bisect","İkiye bölmek, iki eşit parçaya bölmek","Baysekt","genel","0"
"Trisect","Üçe bölmek, üç eşit parçaya bölmek","Tıraysekt","genel","0"
"Dissect","Parçalara ayırmak","Daysekt","genel","0"
"Croatia","Hırvatistan","Kıroeyşa","genel","0"
"Switzerland","İsviçre","Suvitzırlınd","genel","0"
"Swiss","İsviçreli","Suvis","genel","0"
"Serbia","Sırbistan","Sörbia","genel","0"
"Soot","İs","Sut","genel","0"
"Sooty","İsli","Suti","genel","0"
"Adverb","Zarf","","genel","0"
"Superlative","En üstün (most)","Süpörlitiv","genel","0"
"Comparative","Daha (more)","","genel","0"
"Portugal","Portekiz","Portıgıl","genel","0"
"Portuguese","Portekizli","Portıgiz","genel","0"
"Finland","Finlandiya","Finlınd","genel","0"
"Finnish","Fince, finli, finlandiyaya özgü","Finiş","genel","0"
"Austria","Avusturya","Astiria","genel","0"
"Austrian","Avusturyalı","Astiriın","genel","0"
"Australia","Avusturalya","Astırelia","genel","0"
"Australian","Avusturalyalı","Astireliın","genel","0"
"Coalitian","Koalisyon","Koalişın","genel","0"
"That is to say","Yani, demek ki, bu demek oluyor ki","","deyim","0"
"Worrisome","Endişe verici, can sıkıcı","Vorisım","genel","0"
"Cashier","Kasiyer","Keşiır","genel","0"
"Indonesia","Endonezya","İndinija","genel","0"
"Indonesian","Endonezyalı","İndinijın","genel","0"
"Chile","Şili","Çili","genel","0"
"Chilean","Şileli","Çiliın","genel","0"
"Bananas","Muzlar","Bınanıs","genel","0"
"Pout","Somurtmak, surat asmak","Paut","genel","0"
"Sulk","Somurtmak, surat asmak","Salk","genel","0"
"Argentina","Arjantin","Arcıntina","genel","0"
"Argentine","Arjantinli, arjantine özgü, gümüş","Arcıntin","genel","0"
"Argentinean","Arjantinli, arjantine özgü","Arcıntiniın","genel","0"
"Peru","Peru","Pıru","genel","0"
"Peruvian","Perulu","Pıruviın","genel","0"
"Seesaw","Tahteravalli, iniş çıkış, ikilem yaşamak, aşağı yukarı sallanmak","Sisou","genel","0"
"Teeter totter","Tahteravalli","Tidır tadır","genel","0"
"Oath","Ant, yemin","Outh","genel","0"
"Oat","Yulaf","Out","genel","0"
"Crete","Girit adası","Kırit","genel","0"
"Aegean","Ege, ege denizi","Eciın","genel","0"
"Aegean sea","Ege denizi","Eciın si","genel","0"
"Brink","Kenar, eşik","","genel","0"
"Parasite","Parazit, asalak","Perısayt","genel","0"
"Bacteria","Bakteri","Bektiria","genel","0"
"Bacterias","Bakteriler","Bektiriıs","genel","0"
"Oyster","İstiridye","Oystır","genel","0"
"Mussel","Midye","Masıl","genel","0"
"Chimp","Şempanze","","genel","0"
"Champ","Şampiyon","","genel","0"
"Chump","Mankafa, alık, salak, aptal","","genel","0"
"Peacock","Tavuskuşu","","genel","0"
"Embalm","Mumyalamak","İmbam","genel","0"
"Pliers","Pense","","genel","0"
"Greek","Yunan, yunanca","","genel","0"
"Greece","Yunanistan","","genel","0"
"Apricot","Kayısı","Eprikat","genel","0"
"Gull","Martı","Gol","genel","0"
"Gall","Safra, öz","Gol","genel","0"
"Bladder","Kese, idrar torbası","","genel","0"
"Gall bladder","Safra kesesi","Gol bıledır","genel","0"
"Nectarine","Tüysüz şeftali","Nektırin","genel","0"
"Ruler","Cetvel","","genel","0"
"Cattle","Sığır","Kedıl","genel","0"
"Kettle","Ketıl, çaydanlık","Kedıl","genel","0"
"Stingy","Cimri","Sitinci","genel","0"
"Stinky","Kokmuş, kötü kokan, kokuşmuş","Sitinki","genel","0"
"Brazil","Brezilya","Bırızil","genel","0"
"Brazilian","Brezilyalı","Bırıziliın","genel","0"
"Deal - Dealt - Dealt","","Diıl - Delt - Delt","genel","0"
"Lead - led - led","","","genel","0"
"Dive - Dove/Dived - Dived","","Dayv - Dov/Dayvd - Dayvd","genel","0"
"Dove","Güvercin, kumru","Dav","genel","0"
"Humongous","Çok büyük, muazzam, devasa, kocaman","Hümangıs","genel","0"
"Die - Died - Died - Dying - Dies","Ölmek","","genel","0"
"Dye - Dyed - Dyed - Dyeing - Dyes","Boyamak","","genel","0"
"Pierce","Delmek","Piırs","genel","0"
"Colossal","Çok büyük, devasa","Kılasıl","genel","0"
"Leisurely","Acele etmeden, yavaş yavaş","","genel","0"
"Renowed","Ünlü","Rinaund","genel","0"
"Armory","Cephanelik","","genel","0"
"Dissuade","Caydırmak, aklını çelmek, vazgeçirmek","Disueyd","genel","0"
"Persuade","İkna etmek","Pırsueyd","genel","0"
"Lie - Lied - Lied - Lying - Lies","Yalan söylemek","","genel","0"
"Lie - Lay - Lain - Lying - Lies","Uzanmak","","genel","0"
"Lay - Laid - Laid - Laying - Lays","Sermek","","genel","0"
"Preference","Tercih","Pırefırıns","genel","0"
"Ditch","Hendek kazmak, hendek, ekmek (okulu, birisini)","","genel","0"
"Relent","Merhamet etmek, acımak, yumuşamak","Rılent","genel","0"
"Relented","Yumuşamış, acımış, merhamet etmiş","Rılentıd","genel","0"
"Relentless","Acımasız, gaddar","","genel","0"
"Cranberry","Kızılcık, turna yemişi","Kırenberi","genel","0"
"Prove - Proved - Proven/Proved","Kanıtlamak","","genel","0"
"Mite","Akar, kurt","Mayt","genel","0"
"Sweden","İsveç","Suvidın","genel","0"
"Swedish","İsveçli","Suvidiş","genel","0"
"Schemas","Şemalar","Sikimıs","genel","0"
"Conceive","Düşünmek, tasavvur etmek, idrak etmek, tasarlamak","Kınsiv","genel","0"
"Conception","Düşünce, fikir, kavrayış, anlayış","Kınsepşın","genel","0"
"Palestine","Filistin","Pelıstayn","genel","0"
"Palestinian","Filistinli","Pelıstiniın","genel","0"
"Israel","İsrail","İzreıl","genel","0"
"Israeli","İsrailli, İsraile özgü","İzreıli","genel","0"
"Arcs","Yaylar","Arks","genel","0"
"Arches","Kemerler","Arçıs","genel","0"
"Archers","Okçular","Arçırs","genel","0"
"In excess of","- den fazla, -i geçen, onu geçen, geçen","","deyim","0"
"Mongolia","Moğolistan","Mongolia","genel","0"
"Mongolian","Moğolistanlı, Moğolistana özgü","Mongoliın","genel","0"
"Kirghizstan","Kırgızistan","Kırgiztan","genel","0"
"Kirghizstani","Kırgızistanlı, Kırgızistana özgü","Kırgiztani","genel","0"
"Armenia","Ermenistan","Arminia","genel","0"
"Armenian","Ermenistanlı, Ermenistana özgü","Arminiın","genel","0"
"Ascetic","Sofu, dünya nimetlerinden elini ayağını çekmiş kimse","Esetik","genel","0"
"Aesthetics - Esthetics / Aesthetic - Esthetic","Estetik","Esthetiks / Esthetik","genel","0"
"Folk","Halk","Fouk","genel","0"
"Arab","Arap","Erıb","genel","0"
"Arabic","Arapça","Erıbik","genel","0"
"Opera","Opera","Apıra","genel","0"
"Operas","Operalar","Apırıs","genel","0"
"Fearsome","Korkutucu","Fiırsım","genel","0"
"Tenet","İnanç, doktrin, akide, prensip, dogma","Tenıt","genel","0"
"Springboard","Tramplen","","genel","0"
"Gratify","Memnun etmek, tatmin etmek, mutlu etmek","","genel","0"
"Gratification","Memnuniyet","","genel","0"
"Withdraw","Geri çekilmek, geri çekmek, çekilmek, geri almak, çekmek, para çekmek","","genel","0"
"Withdrawal","Geri çekilme, geri çekme, para çekme, vazgeçme, bırakma","","genel","0"
"Withdrawn","Çekingen, içe dönük","","genel","0"
"Plea","Savunma, itiraz, gerekçe, özür","","genel","0"
"Subsequent","Sonradan gelen, sonraki","","genel","0"
"Sequent","Ardışık, birbirini izleyen, art arda gelen","","genel","0"
"Marriage","Evlilik","Meriç","genel","0"
"Devour","Bir çırpıda bitirmek, yalayıp yutmak","Divavır","genel","0"
"Turban","Türban","Törbın","genel","0"
"Scoff","İstihza, alay, dalga geçilen şey, alay konusu, alay etmek, dalga geçmek","Sıkaf","genel","0"
"Chick","Civciv, piliç","","genel","0"
"Uzbekistan","Özbekistan","Uzbekistan","genel","0"
"Uzbekistani","Özbekistanlı, Özbekistana ait","Uzbekistani","genel","0"
"Uzbek","Özbek","Uzbek","genel","0"
"Tandem","İki kişilik, ikili, çift ögeli","Tendım","genel","0"
"Parcel","Koli, parsel","Parsıl","genel","0"
"Tender","İhale, sunmak, teklif etmek, hassas, kolaylıkla incinen","Tendır","genel","0"
